face_id,label,area_poly_px,area_pixels,perimeter_px,n_sides,n_cell_neighbors_multiplicity,n_cell_neighbors_distinct,n_gap_sides,n_holes,touches_border,centroid_row,centroid_col,area_um2,perimeter_um
229,327,1514.696762084961,1515,167.69844682852766,5,5,5,0,0,False,416.05277651744706,217.76929835535452,,
230,251,1922.0890350341797,1923,187.45941532997432,6,6,6,0,0,False,417.57798937415623,155.09383573276162,,
231,338,2542.54345703125,2538,267.43600737659335,10,10,10,0,0,False,438.38994918849636,559.6877534159104,,
232,403,2240.484619140625,2239,192.28538264366708,7,7,7,0,0,False,418.70274188208873,62.990385890399814,,
233,349,1635.6217041015625,1638,162.06097426972605,5,5,5,0,0,False,417.4912534433273,486.56366609466517,,
234,523,2028.1234893798828,2029,191.6268867496534,3,3,3,0,0,False,416.2214581420881,596.5584301415387,,
235,549,1255.616439819336,1256,161.99384471874524,5,5,5,0,0,False,407.3030888477087,875.0310060067993,,
236,106,2096.2384643554688,2094,227.39526643719213,8,8,8,0,0,False,421.50321787986314,821.1034778878181,,
237,130,1452.534408569336,1455,151.83510474092486,4,4,4,0,0,False,420.8556443052457,697.6828490210722,,
238,614,1273.5436401367188,1274,148.79417950190762,4,4,4,0,0,False,427.05422110059624,514.6232941547071,,
239,462,897.4181823730469,899,131.92788489396193,4,4,4,0,0,False,423.7574730012839,543.7965774997671,,
240,98,1524.218734741211,1524,162.44264668296896,6,6,6,0,0,False,434.27341136655355,270.0894514974701,,
241,584,1451.544921875,1452,163.32537859758455,5,5,5,0,0,False,430.8443651999413,456.07736387069536,,
242,149,1319.6053619384766,1321,156.1139738205888,5,4,4,0,0,True,425.90610998641574,18.71008523810551,,
243,112,2767.9923248291016,2770,225.98856811075922,4,4,4,0,0,False,431.7222044573402,966.8610063320496,,
244,5,2229.9248046875,2230,197.49802558188344,8,8,8,0,0,False,429.32844741716207,388.1657044168115,,
245,379,2398.5589599609375,2399,213.22996850245838,6,6,6,0,0,False,447.50087579142786,612.3845394899732,,
246,192,1922.7132568359375,1925,222.65445938779345,6,6,6,0,0,False,429.77516231321493,741.7596706617771,,
247,540,1439.4562225341797,1441,158.32060738425432,5,5,5,0,0,False,440.99135412002664,310.11259147515733,,
