tile,n_ref_vertices,n_pred_vertices,n_matched,n_missed,n_spurious,weighted_frac,set
data/tiles/gt_haec_train/field_00168_r0000_c0000.npz,27,41,12,15,29,0.0280380249023437,haec
data/tiles/gt_haec_train/field_00168_r0688_c0688.npz,13,11,3,10,8,0.0118026733398437,haec
data/tiles/gt_haec_train/field_00169_r0688_c0400.npz,33,47,19,14,28,0.0273056030273437,haec
data/tiles/gt_haec_train/field_00170_r0688_c0000.npz,33,42,16,17,26,0.0279731750488281,haec
data/tiles/gt_haec_train/field_00171_r0400_c0688.npz,19,29,10,9,19,0.0188713073730468,haec
data/tiles/gt_haec_train/field_00172_r0400_c0400.npz,22,24,12,10,12,0.0141258239746093,haec
data/tiles/gt_haec_train/field_00173_r0400_c0000.npz,43,52,19,24,33,0.0371818542480468,haec
data/tiles/gt_haec_train/field_00174_r0000_c0688.npz,30,41,14,16,27,0.0292854309082031,haec
data/tiles/gt_haec_train/field_00175_r0000_c0400.npz,46,57,19,27,38,0.0395164489746093,haec
data/tiles/gt_haec_train/field_00176_r0000_c0000.npz,14,17,4,10,13,0.014923095703125,haec
data/tiles/gt_haec_train/field_00176_r0688_c0688.npz,14,24,8,6,16,0.0143318176269531,haec
data/tiles/gt_haec_train/field_00177_r0688_c0400.npz,12,20,5,7,15,0.0158767700195312,haec
data/tiles/gt_haec_train/field_00178_r0688_c0000.npz,28,33,5,23,28,0.0313377380371093,haec
data/tiles/gt_haec_train/field_00179_r0400_c0688.npz,31,36,10,21,26,0.0297126770019531,haec
data/tiles/gt_haec_train/field_00180_r0400_c0400.npz,12,11,5,7,6,0.0089645385742187,haec
data/tiles/gt_haec_train/field_00181_r0400_c0000.npz,13,20,2,11,18,0.0185508728027343,haec
data/tiles/gt_haec_train/field_00182_r0000_c0688.npz,20,26,7,13,19,0.0194320678710937,haec
data/tiles/gt_haec_train/field_00183_r0000_c0400.npz,15,16,5,10,11,0.0143280029296875,haec
data/tiles/gt_haec_train/field_00184_r0000_c0000.npz,13,13,4,9,9,0.0115203857421875,haec
data/tiles/gt_haec_train/field_00184_r0688_c0688.npz,19,28,7,12,21,0.0218162536621093,haec
data/tiles/gt_haec_train/field_00185_r0688_c0400.npz,15,17,3,12,14,0.0187339782714843,haec
data/tiles/gt_haec_train/field_00186_r0688_c0000.npz,22,22,5,17,17,0.0230064392089843,haec
data/tiles/gt_haec_train/field_00187_r0400_c0688.npz,8,12,4,4,8,0.0088996887207031,haec
data/tiles/gt_haec_train/field_00188_r0400_c0400.npz,14,15,7,7,8,0.0107879638671875,haec
data/tiles/gt_haec_train/field_00189_r0400_c0000.npz,23,21,7,16,14,0.0213737487792968,haec
data/tiles/gt_haec_train/field_00190_r0000_c0688.npz,19,16,8,11,8,0.0123710632324218,haec
data/tiles/gt_haec_train/field_00191_r0000_c0400.npz,19,18,7,12,11,0.0139312744140625,haec
